NOM,NOM_ALPHA,CODE,ARTICLE,NOM_LONG,CAPITALE,longitude,latitude
Royaume-Uni,Royaume-Uni,GBR,le,Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,Londres,-3.435973,55.378051
Russie,Russie,RUS,la,Fédération de Russie,Moscou,105.318756,61.52401
Rwanda,Rwanda,RWA,le,République du Rwanda,Kigali,29.873888,-1.940278
Saint-Christophe-et-Niévès,Saint-Christophe-et-Niévès,KNA,,Fédération de Saint-Christophe-et-Niévès,Basseterre,-62.782998,17.357822
Sainte-Lucie,Sainte-Lucie,LCA,,Sainte-Lucie,Castries,-60.978893,13.909444
Saint-Marin,Saint-Marin,SMR,,République de Saint-Marin,Saint-Marin,12.457777,43.94236
Saint-Vincent-et-les-Grenadines,Saint-Vincent-et-les-Grenadines,VCT,,Saint-Vincent-et-les-Grenadines,Kingstown,12.984305,-61.287228
Salomon,Salomon,SLB,les,Îles Salomon,Honiara,160.156194,-9.64571
Salvador,Salvador,SLV,le,République du Salvador,San Salvador,-88.89653,13.794185
Samoa,Samoa,WSM,les,État indépendant des Samoa,Apia,-172.104629,-13.759029
Sao Tomé-et-Principe,Sao Tomé-et-Principe,STP,,République démocratique de Sao Tomé-et-Principe,Sao Tomé,6.613081,0.18636
Sénégal,Sénégal,SEN,le,République du Sénégal,Dakar,-14.452362,14.497401
Serbie,Serbie,SRB,la,République de Serbie,Belgrade,21.005859,44.016521
Seychelles,Seychelles,SYC,les,République des Seychelles,Victoria,55.491977,-4.679574
Sierra Leone,Sierra Leone,SLE,la,République de Sierra Leone,Freetown,-11.779889,8.460555
Singapour,Singapour,SGP,,République de Singapour,Singapour,103.819836,1.352083
Slovaquie,Slovaquie,SVK,la,République slovaque,Bratislava,19.699024,48.669026
Slovénie,Slovénie,SVN,la,République de Slovénie,Ljubljana,14.995463,46.151241
Somalie,Somalie,SOM,la,République fédérale de Somalie,Mogadiscio,46.199616,5.152149
Soudan,Soudan,SDN,le,République du Soudan,Khartoum,30.217636,12.862807
Soudan du Sud,Soudan du Sud,SDS,le,République du Soudan du Sud,Djouba,0.0,0.0
Sri Lanka,Sri Lanka,LKA,le,République démocratique socialiste du Sri Lanka,Sri Jayewardenepura-Kotte,80.771797,7.873054
Suède,Suède,SWE,la,Royaume de Suède,Stockholm,18.643501,60.128161
Suisse,Suisse,CHE,la,Confédération suisse,Berne,8.227512,46.818188
Suriname,Suriname,SUR,le,République du Suriname,Paramaribo,-56.027783,3.919305
Syrie,Syrie,SYR,la,République arabe syrienne,Damas,38.996815,34.802075
Tadjikistan,Tadjikistan,TJK,le,République du Tadjikistan,Douchanbé,71.276093,38.861034
Tanzanie,Tanzanie,TZA,la,République unie de Tanzanie,Dodoma,34.888822,-6.369028
Tchad,Tchad,TCD,le,République du Tchad,Ndjamena,18.732207,15.454166
Tchéquie,Tchéquie,CZE,la,République tchèque,Prague,15.472962,49.817492
Thaïlande,Thaïlande,THA,la,Royaume de Thaïlande,Bangkok,100.992541,15.870032
Timor oriental,Timor oriental,TLS,le,République démocratique du Timor oriental,Dili,125.727539,-8.874217
Togo,Togo,TGO,le,République togolaise,Lomé,0.824782,8.619543
Tonga,Tonga,TON,les,Royaume des Tonga,Nuku'alofa,-175.198242,-21.178986
Trinité-et-Tobago,Trinité-et-Tobago,TTO,la,République de Trinité-et-Tobago,Port-d'Espagne (Port of Spain),-61.222503,10.691803
Tunisie,Tunisie,TUN,la,République tunisienne,Tunis,9.537499,33.886917
Turkménistan,Turkménistan,TKM,le,Turkménistan,Achgabat,59.556278,38.969719
Turquie,Turquie,TUR,la,République de Turquie,Ankara,35.243322,38.963745
Tuvalu,Tuvalu,TUV,les,Tuvalu,Vaiaku,177.64933,-7.109535
Ukraine,Ukraine,UKR,l',Ukraine,Kiev,31.16558,48.379433
Uruguay,Uruguay,URY,l',République orientale de l'Uruguay,Montévidéo,-55.765835,-32.522779
Vanuatu,Vanuatu,VUT,le,République du Vanuatu,Port-Vila,-32.522779,-15.376706
Vatican,Vatican,VAT,le,Vatican (Saint-Siège),,12.453389,41.902916
Vénézuéla,Vénézuéla,VEN,le,République bolivarienne du Vénézuéla,Caracas,-66.58973,6.42375
Vietnam,Vietnam,VNM,le,République socialiste du Vietnam,Hanoï,108.277199,14.058324
Yémen,Yémen,YEM,le,République du Yémen,Sanaa,48.516388,15.552727
Zambie,Zambie,ZMB,la,République de Zambie,Lusaka,27.849332,-13.133897
Zimbabwé,Zimbabwé,ZWE,le,République du Zimbabwé,Hararé,29.154857,-19.015438
